User_ID,Gender,City_Category,Stay_In_Current_City_Years,Marital_Status,Age_num,Purchase
1003311,M,A,4,0,30,3169
1005583,M,B,2,1,58,20453
1001702,M,C,2,0,23,7053
1001390,M,C,3,1,43,7947
1000048,M,B,3,1,34,5265
1005767,M,B,0,0,33,12748
1002414,M,C,4,1,33,8578
1001391,M,C,0,1,44,15621
1003684,M,C,4,1,30,5203
1004808,M,A,1,1,43,9941
1000777,M,B,1,0,21,11529
1000272,M,A,1,0,24,16462
1004001,F,B,1,1,30,6100
1004276,F,C,4,1,48,760
1005955,F,A,1,0,29,11867
1002634,M,A,3,1,75,7889
1004251,M,C,2,0,47,11720
1001523,M,C,0,0,31,15802
1003080,M,A,4,1,32,13419
1001579,M,A,0,0,35,3109
1001202,M,B,0,0,45,15229
1003148,M,C,3,0,22,6051
1005890,M,C,3,0,39,15351
1005054,M,B,0,0,44,6136
1004140,M,B,4,0,31,19165
1001118,M,C,1,1,53,7062
1000482,M,A,2,1,26,9854
1000832,M,C,4,0,18,7041
1005575,M,C,2,0,38,6952
1000424,M,A,3,0,35,9798
1000178,M,A,2,1,70,8063
1001696,M,C,1,0,39,15466
1005570,M,B,3,0,34,8693
1003465,M,C,3,1,28,8025
1006016,M,B,1,1,47,6059
1005172,F,B,1,0,36,8096
1001051,F,A,0,1,35,9938
1002063,M,A,3,0,34,6061
1006003,F,C,1,0,48,8784
1001965,M,C,1,0,56,7773
1003722,M,C,4,0,35,7798
1006016,M,B,1,1,48,6197
1005482,M,A,1,0,20,19381
1000765,M,B,1,0,28,15376
1005903,M,C,1,1,26,7783
1000361,F,B,3,0,33,10658
1004795,M,C,1,0,46,6089
1000041,F,C,3,0,23,5915
1005357,F,B,2,1,22,7096
1004186,M,B,1,1,31,7734
1004407,M,A,1,0,20,9708
1001012,F,C,0,0,37,5216
1004115,M,B,1,0,29,8674
1002627,M,B,2,1,33,7028
1004329,F,B,0,1,33,9716
1001962,F,B,0,1,23,7127
1001181,M,A,3,1,41,8295
1001340,M,A,2,0,31,3578
1004305,F,B,1,1,47,5935
1003120,M,B,3,1,25,5252
1001181,M,A,3,1,36,7044
1002873,F,B,1,0,22,13232
1002544,M,B,1,0,50,15568
1002063,M,A,3,0,33,1933
1004535,M,B,1,0,22,15643
1002010,M,B,0,0,23,3919
1005972,F,B,0,0,33,5264
1000013,M,C,3,1,49,11705
1005954,M,A,2,1,50,16056
1001894,F,B,0,1,41,9907
1006004,F,C,2,0,28,5415
1002265,M,C,1,1,72,7961
1002268,F,C,4,0,41,3555
1002188,F,B,4,0,19,4163
1003887,M,C,1,0,23,1719
1001221,M,B,1,0,18,8607
1002092,M,B,4,1,61,8751
1005675,M,A,2,0,37,16806
1000061,M,C,1,0,31,8032
1003101,M,C,0,0,21,15489
1005163,M,B,1,1,48,5267
1001347,F,C,0,0,19,16094
1004033,M,B,1,0,33,20337
1003518,F,A,2,0,25,6942
1005987,M,B,4,1,34,15495
1001845,M,B,3,1,29,16654
1005087,F,B,1,1,34,19327
1001010,M,A,1,0,27,9816
1005407,F,C,1,0,41,20398
1003841,M,A,4,0,47,16492
1000369,M,B,2,0,45,15598
1004368,M,B,1,0,21,8795
1003410,M,B,3,1,39,8126
1002040,F,C,3,0,33,16359
1005361,F,A,3,0,54,5945
1004094,M,C,3,0,32,772
1002663,F,B,2,0,30,19223
1001015,M,A,4,1,43,6906
1001298,M,B,4,0,38,15819
1004572,F,C,0,0,12,5474
1001369,M,B,1,1,28,5435
1002137,F,C,1,0,17,2179
1003218,M,C,4,1,64,6002
1004312,M,A,0,1,34,7180
1000585,M,A,1,0,23,11008
1002529,F,A,3,0,42,15188
1003533,M,A,2,1,30,12807
1003208,M,B,4,0,34,5467
1000216,M,B,1,0,47,3732
1003519,F,A,1,1,30,3668
1003353,M,A,3,0,40,7147
1002726,M,C,1,1,47,20458
1001264,M,A,3,0,35,3150
1004280,M,C,2,0,44,19210
1001943,M,B,0,0,22,8098
1004094,M,C,3,0,33,7794
1003858,F,B,2,1,49,9841
1000639,M,B,2,1,50,16527
1004728,M,B,3,0,32,5236
1002304,M,B,2,1,49,15531
1003588,M,B,4,0,26,7086
1004448,M,A,0,0,27,19121
1004979,M,B,1,1,42,3940
1001916,M,B,0,0,48,9821
1003716,M,B,3,1,22,5472
1000242,F,A,3,0,22,5282
1004251,M,C,2,0,50,7045
1005158,F,C,4,0,21,7128
1000044,M,B,3,1,46,7711
1003685,M,C,1,1,29,6870
1001733,M,B,0,1,25,11052
1005074,M,B,2,0,10,48
1004661,M,B,4,1,48,3097
1000302,M,B,4,0,21,15891
1004388,M,B,2,1,49,15618
1005780,M,B,1,0,23,16351
1002500,M,B,1,0,61,19625
1003842,F,B,4,0,39,10855
1004016,M,B,1,0,53,5473
1000326,M,B,1,1,51,6156
1005158,F,C,4,0,25,4552
1002411,F,B,1,0,37,7735
1004416,M,A,3,1,20,8681
1001285,M,A,0,1,39,3144
1002691,M,B,2,0,19,16279
1005436,M,B,1,0,20,15492
1002043,M,C,1,1,32,5837
1004386,M,B,1,0,28,11908
1005619,F,C,0,0,20,8255
1004560,M,C,1,0,34,6097
1004910,M,C,0,0,24,11767
1002905,M,B,1,0,43,2400
1001796,M,C,2,1,53,3449
1003195,M,B,4,0,19,7794
1002796,M,B,3,0,34,8312
1003521,M,B,3,0,30,8124
1004344,M,A,4,0,33,6896
1001586,M,B,2,1,46,6988
1004904,M,B,1,1,55,19045
1003650,M,A,2,0,28,3040
1000619,F,B,0,0,20,8798
1004260,M,C,3,1,26,6091
1005505,F,B,3,1,30,11043
1002109,M,B,2,0,33,11061
1001228,M,C,4,1,28,15401
1005575,M,C,2,0,36,8609
1005377,F,B,3,0,25,8103
1004771,F,A,0,0,26,6875
1004118,M,C,3,0,31,16620
1003218,M,C,4,1,73,4636
1005431,M,C,3,1,56,7021
1005747,M,B,4,1,31,3646
1000035,M,C,4,1,48,5453
1001712,M,B,4,0,26,6106
1000638,M,C,1,1,31,16530
1002590,M,A,0,0,20,8855
1001285,M,A,0,1,44,8625
1005963,M,A,0,0,29,16112
1000876,M,B,1,0,31,15335
1003420,F,A,3,0,27,7887
1004335,M,B,3,0,43,5409
1003274,M,C,4,0,31,15733
1003476,M,B,2,1,55,15875
1004783,M,A,4,0,33,567
1004286,M,C,0,0,42,10074
1001984,M,B,2,1,23,16147
1004774,M,C,4,1,46,23282
1000398,M,B,3,1,31,10035
1004274,F,C,3,1,49,8692
1004596,F,B,1,0,21,15219
1005824,M,B,1,0,22,7896
